Headlines,Article,Companies,Sectors,Interest
Tata Chemicals’ fortunes tied to soda ash amid slow ramp-up of specialty business,"Highlights  Specialty product business is seeing a slow scale-up due to long approval cycles Consequently, soda ash business continues to determine earnings direction of Tata Chemicals The global soda ash market is facing headwinds amid rising supplies and soft realisations The subdued soda ash business is expected to weigh on Tata Chemicals' earnings in near term  Tata Chemicals attempted a business reorganisation six years back. It exited the fertiliser sector, built consumer products businesses and entered specialty chemicals manufacturing. Yet, the company’s
                                    ",Tata Chemicals,Chemicals,0
Morning Scan: Essential stories to kickstart your day,"#1. June quarter to see Nifty50 companies post double-digit revenue and profit growth The firms that constitute the Nifty50 index are expected to report double-digit growth in aggregate revenue and profit for the June quarter, driven by some companies in the automobile, banking and finance, and pharmaceutical space. The sample’s net profit is expected to grow 26.4 percent in the quarter, according to the Economic Times, which will be despite the high base of 36.2 percent expansion in the year-ago period. Revenue is likely to grow in double digits after a gap of four quarters by 10.6 percent compared to 6.9 percent increase a year ago. Why it’s important: The three months to June is traditionally a strong quarter for domestic cyclicals but the good show will be boosted by metals and healthcare firms. Geopolitical developments and slow growth in domestic consumption remain key near-term challenges. #2. Market concentration increases in key industries on business growth and acquisition Market concentration continued to increase in India’s key industries as top companies grabbed a larger share of the business in 2023-24 either through organic growth or acquisition, the Business Standard reported. The Herfindahl-Hirschman Index, a common measure of market concentration in an industry, reached a new high in the just-concluded financial year in industries such as telecom, airlines, cement, steel, and tyers. Why it’s important: Most industries in India have become either highly concentrated or moderately so. The trend is expected to continue due to a spate of mergers and acquisition in recent years and better profitability of larger firms. #3. Adani Group to invest massive $9 billion in capex in first phase of green hydrogen venture The Adani Group will spend $9 billion to build manufacturing and transportation infrastructure for the first phase of its ambitious green hydrogen venture, the Mint reported. Once production gets under way, the business group will hire specialized ships to export what will be the world’s cheapest green hydrogen and its derivatives to Europe and some Asian countries. Why it’s important: Adani’s green hydrogen plans are pivotal to the conglomerate’s business aspirations and crucial to the world’s third most polluted country’s net-zero transition. #4. Regime change in UK could derail Tata Steel’s plans for job cuts at Port Talbot factory The change of government in the UK could be detrimental to Tata Steel’s plans to pare jobs as part of its strategy to shut down ageing blast furnaces at Port Talbot plant in South Wales, the Hindu Businessline reported. Britain’s Labour Party, which came back to power after a decade, has made it clear that concerns around job cuts at the Tata Steel plant will be given top priority. Why it’s important: Tata Steel has been grappling with losses at the UK plant for several years. If the British government takes a hard stance on job cuts, the company will have to extend its losses. #5. Godrej Enterprises Group to map course to unlock growth potential with strategic plan The leadership team of Godrej Enterprises Group comprising the unlisted Godrej & Boyce and several closely held affiliates is working on a strategic plan with the Boston Consulting Group to create integrated and scalable consumer and industrial solutions businesses, the Economic Times reported. The group may consider creating separate scalable business units to drive growth. Why it’s important: Godrej Enterprises aims to tap into synergies offered by business adjacencies to hasten growth after a recent realignment of revenue streams and companies in the century-old Godrej Group. #6. Top startups may see stricter compliance norms on new digital competition regime Over a dozen top startups, including Zomato, Myntra and Nykaa, which command millions of users and large revenues, are likely to face stricter compliance standards under the new legal regime governing digital competition, the Mint reported. Besides MNCS like Alphabet and Meta, these local firms could also be identified as digital gatekeepers with significant influence over the market, according to a study by CUTS Institute for Regulation and Competition. Why it’s important: India is preparing to enact a new competition law to ensure fair play in digital markets, which would set specific thresholds that are expected to cover these homegrown companies. Setting the thresholds would be of critical importance in a country like India that has a strong smartphone penetration. #7. Central government may tweak new electric vehicle policy to benefit legacy automakers India is likely to make changes to its new electric vehicle policy to incentivize automakers that have already made investments in the country, the Economic times reported. The government may potentially consider investments in factories producing both internal combustion engine and electric vehicles as eligible for incentives to add scale and make large investments viable for automakers. Why it’s important: The development comes even as electric carmaker Tesla Inc is still to make any firm commitment on building a factory in India. The policy that aims to hasten local manufacturing of electric cars currently supports only fresh investments. #8. Cash-rich unicorn Zepto to supercharge management team ahead of initial public listing Flush with funds, quick-commerce unicorn Zepto is looking to strengthen its leadership ahead of its upcoming initial public offering in the next 12-15 months by hiring several senior-level employees across various categories, co-founder and CEO Aadit Palicha to the Business Standard. Zepto operates around 350 dark stores across top 10 cities and plans to expand the count to 700 in another 10 cities. Why it’s important: Quick commerce platforms in the country are growing at a breakneck pace, a development that was hard to predict even a few years ago. Finding the right talent for this new business space will not be easy. #9. Auditing overseer free to move against entire firm for alleged misconduct, Delhi high court rules The Delhi High Court has empowered the CA Institute’s disciplinary committee to act against an entire audit firm even when no single individual can be held responsible for the allegations in a complaint, the Hindu Businessline reported. Dismissing a batch of 10 writ petitions filed by partners from firms, including BSR and Associates, Price Waterhouse and Lovelock & Lewes, the court ruled that the committee is free to proceed against the firm as a whole or its individual members, as deemed appropriate, in response to allegations of professional misconduct. Why it’s important: This is a landmark verdict that will compel auditing firms to look closely at their business practices to avoid being censored. It would potentially boost accountability and transparency. #10. Budget could provide funding support to northeastern state to boost hydropower generation The upcoming budget national could unveil funding support to northeastern states for purchasing equity in hydropower projects, the Economic Times reported. The Centre could support equity participation by state governments in hydropower projects in the northeast at 24 percent of the total project equity, subject to a cap of Rs 750 crore per project initially. Why it’s important: Increasing hydropower generation is a key element in India’s green energy transition and reducing emissions intensity of GDP. Financial help to cash-strapped northeastern states would be a welcome move that will help hydropower projects that typically have a long gestation period.
       ",,,0
Signature Global reports strong Q1 FY25 performance amid real estate sector challenges,"Signature Global a prominent player in India's real estate sector, has announced robust financial results for the first quarter of FY25 despite challenges in the market. The company reported a significant growth in pre-sales, collections, and a notable reduction in net debt. In Q1 FY25, Signature Global achieved pre-sales of INR 31.2 billion, marking a remarkable 255% increase compared to the same period last year. This achievement underscores the company's strong market presence and customer demand, with over 30% of its full-year pre-sales target of INR 100 billion already accomplished. Also Read: Signature Global sells over 1,000 luxury apartments in Gurugram for Rs 3,600 crore Collections during the quarter surged by 102% year-on-year, reaching INR 12.1 billion, reflecting efficient cash flow management and robust sales realization of INR 15,369 per square foot. The company's strategic focus on the premium housing segment has also been fruitful, evident from the successful launch of two group housing projects in Gurugram, which received a positive market response. Moreover, Signature Global managed to reduce its net debt by 16%, bringing it down to INR 9.8 billion from INR 11.6 billion at the end of FY24. This reduction in debt highlights the company's prudent financial management amidst a challenging economic environment. Commenting on the performance, Mr. Pradeep Kumar Aggarwal, Chairman and Whole-Time Director of Signature Global, emphasized the company's commitment to sustained growth and customer trust. He expressed confidence in surpassing their ambitious pre-sales target for FY25 and reiterated the company's strategic vision to deliver excellence in the real estate sector. Founded in Gurugram in 2014, Signature Global has established itself as a leader in affordable and mid-housing segments in northern India. With a disciplined land acquisition strategy and strong investor backing, the company continues to expand its portfolio and deliver quality projects that meet global standards of excellence. Looking ahead, Signature Global remains optimistic about its future prospects, supported by a robust pipeline of upcoming and ongoing projects totaling approximately 48.6 million square feet. The company aims to sustain its growth momentum and uphold its position as a trusted name in the Indian real estate market. Also Read: Mcap of 8 of top-10 most-valued firms jumps Rs 1.83 lakh cr; TCS, Infosys biggest gainers ",Signature Global,Real Estate,1
Vedanta says it has arranged $250 million to settle Zambian copper mine debts,"Vedanta Resources Ltd said on Friday it has arranged the financing it needs to start paying creditors of its Konkola Copper Mines in Zambia as it takes steps to revive operations after regaining control of the assets. The miner owned by Indian billionaire Anil Agarwal will have around the $250 million it needs to pay small creditors in Zambia on or around July 8, it said in a statement Vedanta needs to settle debts owed by KCM as part of a deal reached with Zambian authorities after it regained control of the copper mines and smelter. The company regained control of KCM late last year after a five-year battle to recover the copper mines and smelter that were seized by the administration of former Zambian president Edgar Lungu which accused the company of failing to invest to expand copper production. Vedanta said it would also grant KCM workers a 20% salary increase and once-off payment of 2,500 Zambian Kwacha (about $102). Vedanta will still need to raise an additional $1 billion revive the mining operations and invest in advancing particularly the Konkola Deep Mining Project, which holds one of the richest copper deposits in the world. A Vedanta spokesperson told Reuters on Wednesday the company was committed to exploring all funding options, including via debt or selling a stake in the copper assets. Talks to sell a stake in KCM to the United Arab Emirates' International Resources Holding (IRH) collapsed after the parties failed to agree on the assets' value. Vedanta owns 80% of KCM and has said it may sell a 30% of its holding to raise capital to invest in boosting copper output. The Zambian government owns 20% of KCM through state firm ZCCM-IH .
       ",Vedanta,Mining,1
Govt should review GST rates on vehicles powered by clean fuels: Rajiv Bajaj,"Bajaj Auto Managing Director Rajiv Bajaj on Friday suggested that the government review GST rates on vehicles powered by clean fuels. At the launch of the first integrated motorcycle Freedom 125 here, Bajaj also voiced concerns about the use of ”unsustainable subsidies” to promote electric vehicles (EVs). Earlier, he, along with Union Minister for Road Transport and Highways Nitin Gadkari, launched the world’s first CNG-run bike in three variants at a starting price of Rs 95,000 (ex-showroom). ”I would call it a suggestion that the government should seriously review GST rates… Just as they’ve done the right thing with the 5 per cent GST for electric (vehicles),” Bajaj said. He said in the major two-wheeler markets in Latin America and ASEAN countries, the equivalent of GST was 8-14 per cent and almost without exception, the GDP per capita was equal to, or higher, in these countries than India. ”So, the aam aadmi (common man) of India is the one who can afford the least out of Thailand, Malaysia, Indonesia, Brazil, etc. Then what is the logic, justification of 28 per cent GST,” he asked. According to Bajaj, there is no party happening in the EV segment as of now. Bajaj said the company has played its part by keeping the prices of the new motorcycle below Rs 1 lakh (at the lower end of the range) and was of the opinion that government should also now do its bit with lower GST. ”How can sustainable technologies be promoted by unsustainable subsidies, not only in India but worldwide… we want freedom from all of this,” he said. Terming the launch as a ”game-changer”, Bajaj said, ”Today, the message with the Freedom bike is Tiger Zinda Hai.” Speaking at the unveiling event, Gadkari said India has recently reached the third spot in the global automobile industry after the US and China. ”Our automobile industry contributes around Rs 3 lakh crore in terms of GST and employs around 4 crore people,” he said. The minister suggested that Bajaj Auto should ”make it (the vehicle) a 2-litre tank of ethanol, instead of a 2-litre petrol tank, along with the CNG tank.” He also urged the company to keep the price of the new motorcycles below Rs 1 lakh. This groundbreaking innovation will revolutionise the two-wheeler industry by providing a cost-effective and environment-friendly alternative to traditional petrol motorcycles, the company said. Bajaj Auto claimed that its Freedom CNG motorcycle offers about 50 per cent cost savings by significantly reducing fuel expenses, compared to similar petrol motorcycles. The CNG tank provides a range of 200-plus kilometres on just 2 kilograms of CNG fuel. Additionally, it has a 2-litre petrol tank that performs as a range extender, offering over 130 km of range in case the CNG tank empties, ensuring an uninterrupted journey. ”The Bajaj Freedom 125 showcases Bajaj Auto Ltd R&D and manufacturing prowess. Through innovation, Bajaj Auto Ltd has addressed the twin challenge of reducing rising fuel costs and reducing the environmental footprint from travel. ”The initiative also aligns strongly with the Government of India infrastructure projects of building a CNG network, driven by the need to use cleaner fuels and save foreign tourism exchange,” Bajaj Auto Ltd Executive Director Rakesh Sharma said. The Freedom 125 motorcycle will be produced at the company’s Aurangabad manufacturing facility, Sharma said, adding that the initial capacity will be 10,000 vehicles a month and the plans are to scale it up to 30000-40,000 by the fourth quarter of this fiscal. Sharma added that the company will look at exporting the bike in the next six months. ”Initially, our focus is, of course, India, which is a huge market. But, as we’ve been doing this, six countries come to our mind who have adequate network of CNG. These are Egypt and Tanzania in Africa, Colombia and Peru in Latin America, and Bangladesh and Indonesia in Asia,” Sharma added.
       ",Bajaj Auto,Automotive,0
Adani Wilmar Q1 update: Company records robust volume growth at 13% YoY,"Adani Wilmar Ltd, which is mainly into edible oil and food-FMCG businesses, on July 5 said that it has achieved robust volume growth of 13 percent year-on-year for the quarter ended 30 June, 2024, propelled by market-specific strategies in each category. With a robust product portfolio, the company also said it is actively pursuing substantial opportunities by executing strong sales and distribution strategies in general trade. The company’s alternate channels like e-commerce, quick commerce and MT maintained their momentum with 19 percent year-on-year volume growth in Q1. The volume of its branded exports increased by 36 percent year-on-year. The quarter's growth was additionally supported by sales of non-basmati rice to Government-appointed agencies for exports. The Food & FMCG business volume grew by 23 percent YoY. Segment-wise, Adani Wilmar said the edible oil business thrived due to robust execution in sales and distribution, bolstered by the ongoing efforts to improve retail penetration. This came despite the challenges in the industry during the quarter, including decreased out-of-home consumption and seasonal dips in summer demand. The edible oils volume for the quarter increased 13 percent year-on-year, while the sales value for the segment jumped 10 percent year-on-year.
       ",Adani Wilmar,Consumer Goods,1
"DVC to invest Rs 20,000 crore in solar energy projects by 2030","Damodar Valley Corporation (DVC) on Friday announced that it has planned to invest Rs 20,000 crore by 2030 to install nearly 4,000 MW of solar capacity, a top official said. The corporation, created for flood control and development in the Damodar Valley, envisions investment worth Rs 50,000-60,000 crore by 2030 to enhance thermal, pump storage power plants and solar energy, he said.It aims at adding nearly 10,000 MW in thermal and green energy, which will bring its total installed capacity to about 16,700 MW.Of the current 6,700 MW installed capacity of DVC, 6,540 MW is thermal. ”Power demand is growing strong in the north, south, and western parts of the country. We are expanding sustainably with the right mix of thermal and renewable energy, which will keep power costs affordable. We will add 3,720 MW in thermal capacity and nearly 4,000 MW in solar by 2030,” DVC Chairman S. Suresh Kumar said during an interaction on the occasion of the 77th Foundation Day of the corporation. The Kolkata-headquartered corporation now has only 14 MW installed solar capacity and is executing a 348 MW project in association with NTPC.A 250MW/hour capacity of battery storage is also under consideration, he said.Kumar mentioned that DVC has been exempted from coal import due to its power plants’ proximity to the pithead.Recently, the Union Power Ministry has extended a coal import advisory to domestic thermal plants for 4 per cent blending till October 15 to ensure adequate fuel supply during the monsoon season. DVC also plans to ramp up its captive coal mining from its Tubed block in Jharkhand with a separate railway siding for smoother evacuation.”With the dedicated railway siding for loading, we will be able to ramp up production to six million tonnes. We have proposed to the Railways that we would set up the facility at our cost. Due to current evacuation bottlenecks, our output is below two million tonnes. Captive coal is already cheaper, and if Coal India revises the price further, our coal becomes extremely affordable,” Kumar said.The maximum annual production can reach up to nine million tonnes, he said.”The current coal requirement of DVC is 28-30 million tonnes,” Kumar added.The rest of the coal demand is met from the supplies by Coal India subsidiaries. The corporation is unable to bid for a new coal block due to legal hurdles regarding a legacy case, involving a past joint venture with Bengal Emta Coal Mines, the official said.Kumar, who was the former West Bengal power secretary, stated that apart from the 4,000 MW solar power, the corporation plans to install two pump storage facilities in Logu Pahar in Jharkhand (1500 MW) and Panchet in West Bengal (1000 MW).The Panchet project is proposed to be a JV with the West Bengal government.Speaking about dues from Jharkhand, the DVC official said the old dues have come down to about Rs 1,000 crore, and the state is clearing the same.
       ",DVC,Energy,1
Bajaj Auto stock jumps after launch of world's first CNG-powered bike,"Shares of Bajaj Auto jumped over 2 percent on July 5 after the company launched the world’s first CNG-powered bike. The stock price of the automaker closed at Rs 9,634.1 on July 5, on the National Stock Exchange, up 1.83 percent from the previous close.The two-wheeler maker’s new offering Freedom 125 starts at an ex-showroom price of Rs 95,000, the company said. The top variant will cost Rs 1.1 lakh. To begin with, Freedom 125 would be available in Maharashtra and Gujarat and in the rest of the country by early new quarter, the automaker said.The motorcycle was unveiled by Rajiv Bajaj, managing director of Bajaj Auto, in the presence of Union road transport and highways minister Nitin Gadkari in Pune. It has flexible fuel options, featuring two separate switches for petrol as well as CNG. Rakesh Sharma, executive director of Bajaj Auto, said, ""The Bajaj Freedom 125 showcases the firm's R&D and manufacturing prowess. Through innovation the company has addressed the twin challenge of reducing rising fuel costs and reducing the environmental footprint from travel.""The two-wheeler maker's new bike offers approximately 50 percent cost savings by significantly reducing fuel expenses, as compared to similar petrol motorcycles. The CNG tank provides a range of over 200 km on just 2 kg of CNGfuel, the company said. Moreover, it has a 2-liter petrol tank which performs as a range extender, offering over 130 km of range in case the CNG tank empties, according to the automaker. Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. ",Bajaj Auto,Automotive,1
Coffee Day Enterprises' total default at Rs 433.91 crore in Q1 FY25,"Coffee Day Enterprises Ltd has reported a total default of Rs 433.91 crore on payments of interest and repayment of principal amount on loans from banks, financial institutions, and unlisted debt securities as NCDs and NCRPS for the quarter ended June 30, 2024. Coffee Day Enterprises Ltd (CDEL) which is pairing its debts through asset resolution, in a regulatory update said ""the delay in debt servicing is due to liquidity crisis."" There is no change in the default amount as the company has reported a similar amount in previous quarters. This is because the company is not adding interest from 2021. ""Due to default in repayment of interest and principal to the lenders, the lenders have sent 'loan recall' notices to the company as well as initiated legal disputes. In view of the loan recall notices, legal disputes and pending one-time settlement with the lenders, the company has not recognised interest from April 2021,"" it said. CDEL has reported a default of Rs 183.36 crore on the payment of the principal amount on loans or revolving facilities like cash credit from banks or financial institutions as of June 30, 2024. Besides, it has also defaulted in payment of interest of Rs 5.78 crore on the above, informed CDEL. While for unlisted debt securities such as NCDs (Non-Convertible Debentures) and NCRPS (Non-Convertible Redeemable Preference Shares), the outstanding amount of default is Rs 200 crore as of June 30, 2024, along with a default in payment of interest of Rs 44.77 crore on the same. After the death of founder Chairman V G Siddhartha in July 2019, CDEL was in trouble and paired debts through the resolution of assets. In March 2020, CDEL announced repaying Rs 1,644 crore to 13 lenders after concluding a deal with Blackstone Group to sell its technology business park. It is also pursuing a legal course to recover over Rs 3,535 crore allegedly siphoned out of the company into Mysore Amalgamated Coffee Estates Limited (MACEL), a personal firm promoted by its late founder V G Siddhartha.
       ",Coffee Day Enterprises,Consumer Discretionary,1
Godrej Agrovet promoters to acquire 2.16% stake via block deal,"Godrej Agrovet’s (GAVL’s) promoter group members on July 5 announced their intention to acquire 2.16 percent stake in the company through a block deal, the firm said in a stock exchange filing. Promoters- Jamshyd Naoroji Godrej, Navroze Jamshyd Godrej, Smita Godrej Crishna, Nyrika Holkar and Freyan Crishna Bieri- submitted their proposal to buy 2.16 percent of the paid-up equity share capital of GAVL in aggregate from RKN Enterprises, which is a partnership firm, through a block deal, the company said in the filing. The promoters together intend to acquire 4,146,156 equity shares and the proposed move is likely to be completed in the next four days, the company said. On July 5, the shares of the company were trading down 1.18 percent at Rs 788.4 on NSE at 13:12 pm. However, the stock has gained over 46 percent since June 5. On July 2, the stock touched its 52-week high of Rs 841.94 on NSE. The agribusiness firm had posted close to a three-fold jump in consolidated net profit at Rs 65.48 crore in the March quarter on slightly higher sales and reduction in expenses. The company's net profit stood at Rs 23.47 crore in the same quarter previous fiscal, the company said in a regulatory filing. Total income on a consolidated basis rose to Rs 2,144.4 crore during the January-March quarter of the 2023-24 fiscal, from Rs 2,107.56 crore in the year-ago period. For the full financial year 2023-24 , the company posted a 22 percent jump in its consolidated net profit at Rs 359.45 crore compared with Rs 295.36 crore in the year-ago period. Total income increased to Rs 9,601.87 crore during 2023-24 fiscal as against Rs 9,481.18 crore in the previous year. With inputs from PTI ",Godrej Agrovet,Agriculture,1
HDFC Bank said to mull loan portfolio sale amid growth scrutiny,"HDFC Bank Ltd. is mulling the sale of a loans portfolio, according to people familiar with the matter, amid heightened regulatory scrutiny on the nation’s lenders as their credit growth surges. India’s biggest private sector bank has approached public sector lenders, non-banking finance companies as well as some insurance companies and asset managers about participating in the sale, said the people, who requested anonymity discussing private conversations. A measure of how much of a bank’s deposits are being lent out as loans — known as the credit-deposit ratio — has drawn scrutiny from the Reserve Bank of India as that gauge for the nation’s industry stands at a decade high. Selling some of its loan portfolio would go some ways to help HDFC bring that down following an increase in the wake of its 2023 merger with the bank’s parent HDFC Ltd. and may also aid its liquidity. The move is an unusual one for HDFC Bank, which is approaching the market with such a sale for the first time since the two firms combined, the people said. A spokesperson for Mumbai-based HDFC Bank didn’t reply to an email request for comment. Shares of the bank fell the most in a month on Friday after it reported flat sequential deposit performance in the quarter ended June. HDFC Bank Shares Fall Most in a Month After 1Q Deposits Miss With loans growing significantly faster than deposits in India, where the economy’s expanding toward 8%, decision makers at banks are under pressure to address potential financial risks that are building. India’s central bank has also asked banks to raise buffers for some consumer loans as it tries to keep a cap on evolving risks. The banking industry’s credit-deposit ratio stood at 80.3% in March, a decade high, according to RBI data. That has eased since, though remains elevated at 77.9% as of June 14. Bank deposits in India grew 12.6% annually through June 14, compared with 19.2% loan growth, the latest RBI data show. “The persisting gap between credit and deposit growth rates warrants a rethink by the boards of banks to re-strategize their business plans,” the Reserve Bank of India said in a monthly bulletin last month. “A prudent balance between assets and liabilities has to be maintained,” it said. HDFC’s credit-deposit ratio rose as high as 110% after the merger, according to a report by ICRA Ratings, the local arm of Moody’s Investors Inc. It’s since dropped to 104% at the end of the last fiscal year, though remains above the average of between 85%-88% in fiscal 2021 through fiscal 2023. The firm’s total loans expanded about 53% to 24.87 trillion rupees at the end of June, compared with a 24% expansion in deposits during the same period.
       ",HDFC Bank,Financial Services,0
Thermax shares surge after subsidiary wins Rs 500-crore order in Botswana,"Shares of Thermax Limited surged after Thermax Group announced that its subsidiary secured an order worth Rs 513 crore to set up a 600 MW greenfield energy project in Botswana, Southern Africa. The stock price of Thermax Limited jumped 3.66 percent to Rs 5,470 at 12:25 pm on NSE. The Pune-headquartered group’s wholly-owned unit Thermax Babcock & Wilcox Energy Solutions Limited (TBWES) will supply two 550 TPH CFBC (circulating fluidised bed combustion) boilers over a period of 23 months, the firm said in an exchange filing on July 5. This contract will provide support to the development of the first phase i.e. the 300 MW power station being established by the undisclosed customer, the firm said. TBWES will undertake the designing, engineering, manufacturing, testing, supply, supervision of erection & commissioning, and performance testing for the project, the filing said. The power generated is intended for sale to the national utility power company for sustaining the growing power requirement of the country, according to the stock filing. “We are delighted to win the order to support and accelerate power generation efforts in the region of Botswana. Our expertise in design, engineering and manufacturing boilers focussed on lower emissions, reduced operating costs and higher reliability for the power sector through TBWES has led to this win,” said, Ashish Bhandari, MD & CEO, Thermax. Thermax manufactures specialty chemicals and products for heating and cooling. It also provides waste management solutions and builds boilers for steam and power generation, among other things, according to the company.
       ",Thermax,Industrial Machinery,1
"Kalyan Jewellers reports 27% revenue growth in Q1 FY'25, plans expansion","Kalyan Jewellers on Friday reported a 27 per cent year-on-year increase in consolidated revenue for the first quarter of the financial year 2024-25, driven by strong performance in both Indian and Middle Eastern markets. The company had reported a consolidated net revenue of Rs 4,376 crore in the first quarter (April-June) of the 2023-24 fiscal year. India operations saw a 29 per cent revenue growth during the first quarter of this fiscal, compared to the corresponding quarter of the previous fiscal year, with a 12 per cent same-store-sales growth, the company said in a regulatory filing. The revenue from Middle East operations was up 16 per cent, contributing 15 per cent to the consolidated revenue. The company said 13 new franchisee-owned-company-operated (FOCO) showrooms were opened during the April-June period this year in India, while the digital platform Candere recorded a 13 per cent revenue growth. The company said it plans to convert its Candere business into a wholly-owned subsidiary after increasing its stake. ""The recently concluded quarter has been a very satisfying one, having witnessed robust operating performance across all our markets in India and Middle East despite extreme volatility in gold prices and a strong base quarter,"" Kalyan Jewellers said. Kalyan Jewellers aims to launch over 130 new showrooms in FY2025, including about 40 Kalyan showrooms in India, approximately 30 Candere showrooms and the first US showroom by Diwali. The jeweller remains optimistic about the upcoming festive and wedding season, starting with Onam celebrations. As of June 30, 2024, the company operated 277 showrooms across its brands.
       ",Kalyan Jewellers,Consumer Discretionary (Luxury Goods/Jewelry),1
Foxconn Chairman Young Liu to visit India this year,"Taiwanese electronics giant Foxconn Chairman Young Liu plans to visit India this year. Liu received the Padma Bhushan Award from India Taipei Association Director General Manharsinh Yadav at Taipei on July 4. He was conferred with Padma Bhushan, the third highest civilian award, on the eve of the 75th Republic Day this year. ""... I am humbled to receive the award. I also want to say I am privileged to accept this award on behalf of all the fine women and men who work to do our part in growing local economies in India... I look forward to meeting Madam President in India this year,"" Liu said in a statement. He last visited India in July last year to attend the Semicon India conclave where he met Prime Minister Narendra Modi. Foxconn's total investment in India is estimated to be in the range of USD 9-10 billion. The company is also in process of expanding its iPhone production facility, setting up a chip plant in a joint venture with HCL Group, an electric vehicle manufacturing unit and Apple Airpods.
       ",Foxconn,Technology Hardware & Electronics Manufacturing,0
Should investors bet on DCB Bank?,"Highlights  Stock has underperformed amidst management change Loan growth has picked up, margins to get stabilised Asset quality stress contained, credit cost at lowest level Cost-to-income ratio seems to have peaked  The stock of DCB Bank (CMP: Rs 139; M Cap: Rs 4,366 crore; Rating: Overweight) has underperformed the broader equity benchmark year to date (YTD). While the Nifty 50 has risen 12 percent YTD, DCB Bank’s stock has delivered a mere 5 percent return during the same period. The bank is
                                    ",DCB Bank,Banking,0
Why the Q1 business updates from banks are not music to investors’ ears,"Highlights  Loan growth continues to remain strong Deposit growth YoY mostly better than last year Sequentially loan growth ahead of deposits CD ratio remains uncomfortably elevated  Several banks have come out with business updates for the quarter gone by. As we take a deeper look into the numbers of a large bank, a few mid-sized ones, and a couple of small finance banks, the picture appears to be far from perfect. However, it is too early to dub it as worrisome. First the
                                    ",HDFC Bank,Banking,0
Raymond board approves plan for real estate business demerger,"Textile and real estate player Raymond Ltd on July 4 said that its board has approved the demerged of its real estate business, Raymond Realty Limited, to unlock value of the business as a whole. The demerger plan aims to ""exploit the growth potential of the real estate business and attract fresh set of investors / strategic partners to participate in the real estate business, it is proposed to consolidate the entire real estate business of the Group under one single entity,"" the company said in a regulatory filing. The company will issue 6.65 crore shares of Raymond Realty having face value of Rs 10 per share. Upon completion, shareholders will get one Raymond realty share for each held. There is no cash consideration or any other form of consideration. Raymond Realty will be listed on both the National Stock Exchange and BSE. The proposed restructuring will enable a ""focused management to explore the potential business opportunities effectively and efficiently"", said Raymond. ""This strategic move comes as Raymond's Real Estate Business has achieved scale, reporting revenue of Rs 1,593 crore (43% YoY growth) and EBITDA of Rs 370 crore in FY24, positioning it well to chart its own growth path as a separate entity. Raymond Realty has 100 acres of land in Thane with 11.4 mn sq ft RERA approved carpet area of which about 40 acres is currently under development. There are five ongoing projects worth Rs 9,000 crore on its Thane land, with an additional potential to generate more than Rs 16,000 crore, making a total potential revenue of over Rs 25,000 crore from this land bank,"" said Raymond in a press release. Recently, Raymond Realty has launched its first joint development agreement (JDA) project in Bandra, Mumbai. Additionally, Raymond has signed three new JDAs in Mahim, Sion, and one more in Bandra East Mumbai, taking the combined revenue potential from four JDA projects in the Mumbai Metropolitan Region to over Rs 7,000 crore. With the development of Thane Land Bank and current 4 JDA’s gives company the potential revenue of Rs 32,000 crore, added Raymond. Commenting on the development, Gautam Hari Singhania, Chairman C Managing Director, Raymond Limited said; “Having stated that now we have clear three vectors of growth at Raymond group i.e. Lifestyle, Real Estate and Engineering, this corporate action is in line with creating shareholder value creation. This strategy to demerge the Real Estate business into a separate company that will be listed through automatic route is another step to enhance the shareholder value. The existing shareholders of Raymond Limited will get the shares in the new listed Real Estate company in a ratio of 1:1.” Further, the company said that the demerger it will enable independent and distinct capital allocation approach and balance sheet management based on the distinct needs of each business. Meanwhile, shares of Raymond on July 4 closed almost flat at Rs 2,935.45 apiece on BSE. The stock has surged 68.87 percent in a year-to-date basis. Last year, in an plan to become net-debt free, Raymond had announced the demerger of its lifestyle business to Raymond Consumer Care to create a listed entity with pure-play B2C-focused lifestyle business. The lifestyle business consists of suiting business with manufacturing plants, B2C shirting, branded apparel and subsidiaries including garmenting business and B2B shirting.
       ",Raymond,Consumer Discretionary,0
